superevent_id	classification	distance	area(90)	vol(90)	HasNS	HasRemnant	BNS	NSBH	BBH	Terrestrial
S240621em	BBH	8637.685251173825	3223.306707873741	37410252625.89972	0.0	0.0	0.0	6.953966180844242e-06	0.9607027619964514	0.03929028403736767
S240622h	BBH	1650.615567880569	271.22883165641474	138881122.33440417	0.0	0.0	1.3993309900628152e-17	6.280689025787887e-13	0.9853832416027131	0.01461675839665888
S240627by	BBH	1465.9644660383103	933.850909859247	408641877.50943696	0.0	0.0	9.253886996371324e-19	0.00010051232677958175	0.9915116466041664	0.008387841069054103
S240629by	BBH	1201.385826481702	220.7911105421218	52070750.30228671	0.0	0.0	0.0	0.08383800946061921	0.9146617931721635	0.001500197367217293
S240630t	BBH	3000.25141561267	1032.6071307344153	1968303659.0266552	0.0	0.0	2.786101519129276e-23	2.014194284129316e-21	0.9999967037665562	3.296233443750296e-06
S240703ad	BBH	2651.790520679213	11462.663242858423	17895902162.29047	0.0	0.0	3.16518755431053e-20	2.3631049667016158e-18	0.9999997191938531	2.808061468906331e-07
S240705at	BBH	3564.18208340114	723.996024233959	1671815912.6784208	0.0	0.0	0.0	0.0	0.999999992	8e-09
S240716b	BBH	2393.7186223727213	8871.889843913588	9278783076.801048	0.0	0.0	1.3292938537873685e-34	1.1130723072181652e-32	0.9999999964011067	3.598893294487482e-09
S240807h	BBH	1035.9448158406174	13078.300558329962	2266352276.0555687	0.0	0.0	7.82971187102233e-20	0.00010181271123842453	0.9998658270073829	3.2360281378651656e-05
S240813c	BBH	1221.3107139797776	13781.666865024094	3602278122.3547935	0.0	0.0	1.9424066863423593e-20	6.788564600555213e-05	0.9977751307983372	0.002156983555657188
S240813d	BBH	1063.081775856736	1776.314824255319	280127253.43382794	0.0	0.0	3.277714241205489e-75	1.0060594488251936e-22	0.9999999999884843	1.1515677300621974e-11
S240825ar	BBH	1329.7068327213174	1202.8683113823065	393307899.7776203	0.0	0.0	0.0	0.025584061078504198	0.9652913494759712	0.009124589445524633
S240830gn	BBH	1216.5462040365696	825.282276493677	223741029.99623543	0.0	0.0	0.0	0.10555124594622292	0.8913222818272336	0.0031264722265434974
S240902bq	BBH	3424.559280264473	922.6577252305158	2209249857.7963033	0.0	0.0	0.0	0.0	0.999900758751817	9.924124818294633e-05
S240907cg	BBH	5256.319469418737	1768.5768338574562	9332976546.019888	0.0	0.0	8.05484107525264e-21	6.029398637898919e-19	0.9991351854097086	0.0008648145902914184
S240908bs	BBH	4110.120716873238	780.0914385634195	2850651172.9298697	0.0	0.0	0.0	0.0	0.9999863342122511	1.366578774886218e-05
S240908dg	BBH	4155.642079530464	2190.865502609183	8796352705.427654	0.0	0.0	1.8013299896198637e-17	7.670592146401026e-14	0.9504049321364886	0.049595067863434705
S240910ci	BBH	643.3623126327608	369.9470410921177	16556913.01074654	0.0	0.0	0.0	0.30753990231181055	0.6909208731549286	0.00153922453326083
S240915b	BBH	864.3681643040719	71.27979732187633	6721635.033579949	0.0	0.0	0.0	0.13947870596316314	0.8589937380059585	0.0015275560308783964
S240915bd	BBH	652.9259259171307	5115.457519159994	289589959.65386146	0.0	0.0	4.632905419024944e-41	0.0004169423528317405	0.9995829426138032	1.150333650556945e-07
S240916ar	BBH	1483.3780599393604	1191.8287263422917	510201558.3755235	0.0	0.0	0.0	1.0250883697404202e-10	0.9870158440001257	0.012984155897365457
S240917cb	BBH	8437.603362132213	3662.8453779329298	40773819573.09803	0.0	0.0	0.0	1.320818134750267e-07	0.9596096715581844	0.04039019636000196
S240919bn	BBH	1833.9943339040776	21.22846977257063	11782579.20476712	0.0	0.0	0.0	0.0	1.0	0.0
S240920bz	BBH	1654.8829040293722	544.8588581974288	263304217.55616498	0.0	0.0	0.0	0.0	0.9997161435138502	0.00028385648614981385
